date,source_page,paksha_day,mars_raw,mars_deg,mercury_raw,mercury_deg,jupiter_raw,jupiter_deg,venus_raw,venus_deg,saturn_raw,saturn_deg,ketu_raw,ketu_deg,page_excluded,page_exclusion_reason,row_quality_notes
2023-02-06,pdf22-phalguna-krishna2.json,1,01|65|48|25,95.8069,08|29|53|26,269.8906,11|03|39|56,333.6656,10|20|48|25,320.8069,09|29|39|44,299.6622,06|66|48|58,246.8161,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-07,pdf22-phalguna-krishna2.json,2,01|66|04|45,96.0792,09|01|48|32,271.8089,11|03|43|35,333.7264,10|21|32|44,321.5456,09|29|38|42,299.645,06|66|45|77,246.7714,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-08,pdf22-phalguna-krishna2.json,3,01|66|20|04,96.3344,09|02|43|48,272.73,11|03|55|44,333.9289,10|22|47|03,322.7842,09|29|46|08,299.7689,06|66|42|37,246.7103,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-09,pdf22-phalguna-krishna2.json,4,01|66|35|53,96.5981,09|04|09|04,274.1511,11|04|06|53,334.1147,10|24|01|22,324.0228,09|29|53|35,299.8931,06|66|09|27,246.1575,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-10,pdf22-phalguna-krishna2.json,5,01|66|54|19,96.9053,09|05|56|23,275.9397,11|04|19|28,334.3244,10|25|55|57,325.9325,10|00|00|57,300.0158,06|66|06|46,246.1128,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-11,pdf22-phalguna-krishna2.json,6,01|67|03|15,97.0542,09|06|23|22,276.3894,11|04|32|03,334.5342,10|26|29|22,326.4894,10|00|08|49,300.1469,06|66|03|05,246.0514,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-12,pdf22-phalguna-krishna2.json,7,01|67|32|40,97.5444,09|07|00|31,277.0086,11|04|44|38,334.7439,10|27|03|07,327.0519,10|00|15|18,300.255,06|65|59|54,245.9983,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-13,pdf22-phalguna-krishna2.json,8,01|67|59|35,97.9931,09|10|37|40,280.6278,11|04|57|23,334.9564,10|28|51|01,328.8503,10|00|23|02,300.3839,06|65|56|43,245.9453,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-14,pdf22-phalguna-krishna2.json,9,01|68|40|30,98.675,09|12|24|58,282.4161,11|05|09|58,335.1661,11|00|40|55,330.6819,10|00|30|23,300.5064,06|65|53|32,245.8922,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-15,pdf22-phalguna-krishna2.json,10,01|68|59|25,98.9903,09|13|59|56,283.9989,11|05|22|23,335.3731,11|01|24|49,331.4136,10|00|37|44,300.6289,06|65|50|22,245.8394,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-16,pdf22-phalguna-krishna2.json,11,01|68|58|20,98.9722,09|15|21|04,285.3511,11|05|34|57,335.5825,11|02|38|43,332.6453,10|00|45|05,300.7514,06|65|47|22,245.7894,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-17,pdf22-phalguna-krishna2.json,12,01|69|09|42,99.1617,09|17|03|42,287.0617,11|05|47|57,335.7992,11|03|52|20,333.8722,10|00|52|27,300.8742,06|65|44|01,245.7336,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-18,pdf22-phalguna-krishna2.json,13,01|69|39|04,99.6511,09|18|58|20,288.9722,11|06|00|57,336.0158,11|05|05|37,335.0936,10|00|59|49,300.9969,06|65|40|50,245.6806,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-19,pdf22-phalguna-krishna2.json,14,01|69|52|26,99.8739,09|20|04|28,290.0744,11|06|13|57,336.2325,11|06|19|04,336.3178,10|01|07|11,301.1197,06|65|37|39,245.6275,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-02-20,pdf22-phalguna-krishna2.json,30,01|70|03|18,100.055,09|22|27|36,292.46,11|06|26|57,336.4492,11|07|32|31,337.5419,10|01|44|33,301.7425,06|65|34|28,245.5744,NO,,mars bhaga>60 (as printed); ketu bhaga>60 (as printed)
2023-03-08,pdf22-chaitra-krishna.json,1,01.26.35.35,56.5931,10.12.48.46,312.8128,11.20.02.35,350.0431,11.27.09.48,357.1633,10.03.54.08,303.9022,06.48.43.36,228.7267,NO,,
2023-03-09,pdf22-chaitra-krishna.json,2,01.27.00.57,57.0158,10.12.10.40,312.1778,11.20.16.12,350.27,11.28.24.20,358.4056,10.03.22.38,303.3772,06.48.40.26,228.6739,NO,,
2023-03-10,pdf22-chaitra-krishna.json,3,01.27.28.02,57.4672,10.14.56.34,314.9428,11.20.30.36,350.51,11.29.26.45,359.4458,10.03.28.25,303.4736,06.47.37.45,227.6292,NO,,
2023-03-11,pdf22-chaitra-krishna.json,4,01.27.55.07,57.9186,10.16.44.38,316.7439,11.20.44.42,350.745,00.00.39.20,0.6556,10.03.35.22,303.5894,06.45.34.04,225.5678,NO,,
2023-03-12,pdf22-chaitra-krishna.json,5,01.28.22.32,58.3756,10.18.32.42,318.545,11.20.59.06,350.985,00.02.52.35,2.8764,10.03.42.59,303.7164,06.45.30.53,225.5147,NO,,
2023-03-13,pdf22-chaitra-krishna.json,6,01.28.49.46,58.8294,11.00.20.45,330.3458,11.21.03.22,351.0561,00.03.04.00,3.0667,10.03.48.45,303.8125,06.43.27.42,223.4617,NO,,
